"","X.x","ano","turno","sigla_uf","sigla_partido","id_municipio","votos","resultado","cargo","porcentagem","X.y","Município","idhm_2010"
"228",228,2018,1,"SP","NOVO",3516309,1313,"nao eleito","presidente",0.810789114554066,187,"Francisco Morato",0.703
"229",229,2018,1,"SP","PSL",3516309,30870,"2º turno","presidente",19.0624980702849,187,"Francisco Morato",0.703
"230",230,2018,1,"SP","PSOL",3516309,672,"nao eleito","presidente",0.414965944387153,187,"Francisco Morato",0.703
"231",231,2018,1,"SP","PT",3516309,26923,"2º turno","presidente",16.6251906558561,187,"Francisco Morato",0.703
"232",232,2018,1,"SP","PPL",3516408,45,"nao eleito","presidente",0.0338473110191801,188,"Franco da Rocha",0.731
"233",233,2018,1,"SP","REDE",3516408,869,"nao eleito","presidente",0.653629183903723,188,"Franco da Rocha",0.731
"234",234,2018,1,"SP","PT",3516507,161,"2º turno","presidente",4.24130663856691,189,"Gabriel Monteiro",0.763
"235",235,2018,1,"SP","PSOL",3516606,9,"nao eleito","presidente",0.126280342360039,190,"Gália",0.709
"236",236,2018,1,"SP","PODE",3516705,193,"nao eleito","presidente",0.412234610619847,191,"Garça",0.769
"237",237,2018,1,"SP","PSOL",3516705,121,"nao eleito","presidente",0.258447605621769,191,"Garça",0.769
"238",238,2018,1,"SP","PSTU",3516705,4,"nao eleito","presidente",0.0085437224998932,191,"Garça",0.769
"239",239,2018,1,"SP","PSDB",3516853,275,"nao eleito","presidente",4.95317002881844,193,"Gavião Peixoto",0.719
