"","Cod IBGE","Município","idhm_2010"
"433",3538600,"Piracaia",0.739
"434",3538709,"Piracicaba",0.785
"435",3538808,"Piraju",0.758
"436",3538907,"Pirajuí",0.749
"437",3539004,"Pirangi",0.756
"438",3539103,"Pirapora do Bom Jesus",0.727
"439",3539202,"Pirapozinho",0.776
"440",3539301,"Pirassununga",0.801
"441",3539400,"Piratininga",0.779
"442",3539509,"Pitangueiras",0.723
"443",3539608,"Planalto",0.719
"444",3539707,"Platina",0.719
"445",3539806,"Poá",0.771
"446",3539905,"Poloni",0.766
"447",3540002,"Pompéia",0.786
"448",3540101,"Pongaí",0.755
"449",3540200,"Pontal",0.725
"450",3540259,"Pontalinda",0.702
"451",3540309,"Pontes Gestal",0.732
"452",3540408,"Populina",0.714
"453",3540507,"Porangaba",0.703
"454",3540606,"Porto Feliz",0.758
"455",3540705,"Porto Ferreira",0.751
"456",3540754,"Potim",0.697
"457",3540804,"Potirendaba",0.747
"458",3540853,"Pracinha",0.696
"459",3540903,"Pradópolis",0.733
"460",3541000,"Praia Grande",0.754
"461",3541059,"Pratânia",0.701
"462",3541109,"Presidente Alves",0.735
"463",3541208,"Presidente Bernardes",0.757
"464",3541307,"Presidente Epitácio",0.75
"465",3541406,"Presidente Prudente",0.806
"466",3541505,"Presidente Venceslau",0.763
"467",3541604,"Promissão",0.743
"468",3541653,"Quadra",0.678
"469",3541703,"Quatá",0.738
"470",3541802,"Queiroz",0.715
"471",3541901,"Queluz",0.722
"472",3542008,"Quintana",0.732
"473",3542107,"Rafard",0.745
"474",3542206,"Rancharia",0.751
"475",3542305,"Redenção da Serra",0.657
"476",3542404,"Regente Feijó",0.768
"477",3542503,"Reginópolis",0.728
"478",3542602,"Registro",0.754
"479",3542701,"Restinga",0.705
"480",3542800,"Ribeira",0.698
"481",3542909,"Ribeirão Bonito",0.712
"482",3543006,"Ribeirão Branco",0.639
"483",3543105,"Ribeirão Corrente",0.711
"484",3543204,"Ribeirão do Sul",0.747
"485",3543238,"Ribeirão dos Índios",0.721
"486",3543253,"Ribeirão Grande",0.705
"487",3543303,"Ribeirão Pires",0.784
"488",3543402,"Ribeirão Preto",0.8
"489",3543501,"Riversul",0.664
"490",3543600,"Rifaina",0.74
"491",3543709,"Rincão",0.734
"492",3543808,"Rinópolis",0.723
"493",3543907,"Rio Claro",0.803
"494",3544004,"Rio das Pedras",0.759
"495",3544103,"Rio Grande da Serra",0.749
"496",3544202,"Riolândia",0.703
"497",3544251,"Rosana",0.764
"498",3544301,"Roseira",0.737
"499",3544400,"Rubiácea",0.721
"500",3544509,"Rubinéia",0.759
"501",3544608,"Sabino",0.728
"502",3544707,"Sagres",0.73
"503",3544806,"Sales",0.751
"504",3544905,"Sales Oliveira",0.772
"505",3545001,"Salesópolis",0.732
"506",3545100,"Salmourão",0.719
"507",3545159,"Saltinho",0.791
"508",3545209,"Salto",0.78
"509",3545308,"Salto de Pirapora",0.729
"510",3545407,"Salto Grande",0.704
"511",3545506,"Sandovalina",0.709
"512",3545605,"Santa Adélia",0.76
"513",3545704,"Santa Albertina",0.728
"514",3545803,"Santa Bárbara d'Oeste",0.781
"515",3546009,"Santa Branca",0.735
"516",3546108,"Santa Clara d'Oeste",0.733
"517",3546207,"Santa Cruz da Conceição",0.79
"518",3546256,"Santa Cruz da Esperança",0.743
"519",3546306,"Santa Cruz das Palmeiras",0.728
"520",3546405,"Santa Cruz do Rio Pardo",0.762
"521",3546504,"Santa Ernestina",0.738
"522",3546603,"Santa Fé do Sul",0.784
"523",3546702,"Santa Gertrudes",0.737
"524",3546801,"Santa Isabel",0.738
"525",3546900,"Santa Lucia",0.737
"526",3547007,"Santa Maria da Serra",0.686
"527",3547106,"Santa Mercedes",0.739
"528",3547205,"Santana da Ponte Pensa",0.773
"529",3547304,"Santana de Parnaíba",0.814
"530",3547403,"Santa Rita d'Oeste",0.761
"531",3547502,"Santa Rita do Passa Quatro",0.775
"532",3547601,"Santa Rosa do Viterbo",0.77
"533",3547650,"Santa Salete",0.772
"534",3547700,"Santo Anastácio",0.753
"535",3547809,"Santo André",0.815
"536",3547908,"Santo Antonio da Alegria",0.702
"537",3548005,"Santo Antonio de Posse",0.702
"538",3548054,"Santo Antonio do Aracanguá",0.757
"539",3548104,"Santo Antonio do Jardim",0.714
"540",3548203,"Santo Antonio do Pinhal",0.706
"541",3548302,"Santo Expedito",0.732
"542",3548401,"Santópolis do Aguapeí",0.74
"543",3548500,"Santos",0.84
"544",3548609,"São Bento do Sapucaí",0.72
"545",3548708,"São Bernardo do Campo",0.805
"546",3548807,"São Caetano do Sul",0.862
"547",3548906,"São Carlos",0.805
"548",3549003,"São Francisco",0.723
"549",3549102,"São João da Boa Vista",0.797
"550",3549201,"São João das Duas Pontes",0.72
"551",3549250,"São João de Iracema",0.748
"552",3549300,"São João do Pau d'Alho",0.75
"553",3549409,"São Joaquim da Barra",0.762
"554",3549508,"São José da Bela Vista",0.693
"555",3549607,"São José do Barreiro",0.684
"556",3549706,"São José do Rio Pardo",0.774
"557",3549805,"São José do Rio Preto",0.797
"558",3549904,"São José dos Campos",0.807
"559",3549953,"São Lourenço da Serra",0.728
"560",3550001,"São Luís do Paraitinga",0.697
"561",3550100,"São Manuel",0.744
"562",3550209,"São Miguel Arcanjo",0.71
"563",3550308,"São Paulo",0.805
"564",3550407,"São Pedro",0.755
"565",3550506,"São Pedro do Turvo",0.703
"566",3550605,"São Roque",0.768
"567",3550704,"São Sebastião",0.772
"568",3550803,"São Sebastião da Grama",0.701
"569",3550902,"São Simão",0.766
"570",3551009,"São Vicente",0.768
"571",3551108,"Sarapuí",0.707
"572",3551207,"Sarutaiá",0.688
"573",3551306,"Sebastianópolis do Sul",0.773
"574",3551405,"Serra Azul",0.686
"575",3551504,"Serrana",0.729
"576",3551603,"Serra Negra",0.767
"577",3551702,"Sertãozinho",0.761
"578",3551801,"Sete Barras",0.673
"579",3551900,"Severínia",0.715
"580",3552007,"Silveiras",0.678
"581",3552106,"Socorro",0.729
"582",3552205,"Sorocaba",0.798
"583",3552304,"Sud Mennucci",0.747
"584",3552403,"Sumaré",0.762
"585",3552502,"Suzano",0.765
"586",3552551,"Suzanápolis",0.699
"587",3552601,"Tabapuã",0.735
"588",3552700,"Tabatinga",0.704
"589",3552809,"Taboão da Serra",0.769
"590",3552908,"Taciba",0.723
"591",3553005,"Taguaí",0.709
"592",3553104,"Taiaçu",0.71
"593",3553203,"Taiúva",0.76
"594",3553302,"Tambaú",0.731
"595",3553401,"Tanabi",0.748
"596",3553500,"Tapiraí",0.681
"597",3553609,"Tapiratiba",0.751
"598",3553658,"Taquaral",0.759
"599",3553708,"Taquaritinga",0.748
"600",3553807,"Taquarituba",0.701
"601",3553856,"Taquarivaí",0.679
"602",3553906,"Tarabaí",0.726
"603",3553955,"Tarumã",0.753
"604",3554003,"Tatuí",0.752
"605",3554102,"Taubaté",0.8
"606",3554201,"Tejupá",0.668
"607",3554300,"Teodoro Sampaio",0.741
"608",3554409,"Terra Roxa",0.749
"609",3554508,"Tietê",0.778
"610",3554607,"Timburi",0.71
"611",3554656,"Torre de Pedra",0.714
"612",3554706,"Torrinha",0.744
