"","ano","turno","sigla_uf","sigla_partido","id_municipio","votos","resultado","cargo","porcentagem","Município","idhm_2010"
"4288",2018,1,"SP","PDT",3531803,2509,"nao eleito","presidente",4.57913564023945,"Monte Mor",0.733
"4289",2018,1,"SP","PPL",3531803,2,"nao eleito","presidente",0.00365016790772376,"Monte Mor",0.733
"4290",2018,1,"SP","PSOL",3531902,28,"nao eleito","presidente",0.103957822826168,"Morro Agudo",0.712
"4291",2018,1,"SP","PPL",3532009,3,"nao eleito","presidente",0.0198873052701359,"Morungaba",0.715
"4292",2018,1,"SP","PT",3532058,748,"2º turno","presidente",15.2156224572823,"Motuca",0.741
"4293",2018,1,"SP","PPL",3532108,0,"nao eleito","presidente",0,"Murutinga do Sul",0.726
"4294",2018,1,"SP","NOVO",3532157,12,"nao eleito","presidente",0.372323921811976,"Nantes",0.714
"4295",2018,1,"SP","PSOL",3532157,0,"nao eleito","presidente",0,"Nantes",0.714
"4296",2018,1,"SP","PATRIOTA",3532207,19,"nao eleito","presidente",0.323514387876724,"Narandiba",0.718
"4297",2018,1,"SP","PT",3532207,989,"2º turno","presidente",16.8397752426358,"Narandiba",0.718
"4298",2018,1,"SP","PPL",3532306,0,"nao eleito","presidente",0,"Natividade da Serra",0.655
"4299",2018,1,"SP","PSTU",3532504,2,"nao eleito","presidente",0.0196637498771016,"Neves Paulista",0.754
"4300",2018,1,"SP","NOVO",3532603,190,"nao eleito","presidente",1.71340968527369,"Nhandeara",0.751
"4301",2018,1,"SP","PSL",3532702,1243,"2º turno","presidente",24.7708250298924,"Nipoã",0.713
"4302",2018,1,"SP","PT",3532702,634,"2º turno","presidente",12.634515743324,"Nipoã",0.713
"4303",2018,1,"SP","PSOL",3532827,15,"nao eleito","presidente",0.150225338007011,"Nova Campina",0.651
"4304",2018,1,"SP","PODE",3532843,9,"nao eleito","presidente",0.346020761245675,"Nova Canaã Paulista",0.715
"4305",2018,1,"SP","PSOL",3533007,42,"nao eleito","presidente",0.214756864549778,"Nova Granada",0.739
"4306",2018,1,"SP","DC",3533106,0,"nao eleito","presidente",0,"Nova Guataporanga",0.726
"4307",2018,1,"SP","MDB",3533106,20,"nao eleito","presidente",0.739918608953015,"Nova Guataporanga",0.726
"4308",2018,1,"SP","PSOL",3533106,0,"nao eleito","presidente",0,"Nova Guataporanga",0.726
"4309",2018,1,"SP","REDE",3533106,6,"nao eleito","presidente",0.221975582685905,"Nova Guataporanga",0.726
"4310",2018,1,"SP","DC",3533205,0,"nao eleito","presidente",0,"Nova Independência",0.735
